freq_GHz,a,b,D,C,p_opt1,p_opt2,sigma2_1,sigma2_2,mu
170.00,3.2387,3.2387,500,416102144.687533,1.000000,0.000000,0.000000,0.000000,1.099386
170.00,3.2482,3.2482,500,420323538.262076,1.000000,0.000000,0.000000,0.000000,1.096760
170.00,3.2578,3.2578,500,420713704.216579,1.000000,0.000000,0.000000,0.000000,1.096521
170.00,3.2673,3.2673,500,417245828.093811,1.000000,0.000000,0.000000,0.000000,1.098667
170.00,3.2768,3.2768,500,409822762.582278,1.000000,0.000000,0.000000,0.000000,1.103436
170.00,3.2863,3.2863,500,406692737.683690,0.801164,0.198836,0.000000,0.000000,0.912532
170.00,3.2958,3.2958,500,419249891.753463,0.657698,0.342302,0.000000,0.000000,0.781130
170.00,3.3053,3.3053,500,432874250.985609,0.580700,0.419300,0.000000,0.000000,0.722006
170.00,3.3148,3.3148,500,441378281.328961,0.529019,0.470981,0.000000,0.000000,0.696947
170.00,3.3243,3.3243,500,442594025.860445,0.514890,0.485110,0.000000,0.000000,0.693815
170.00,3.3338,3.3338,500,436220537.918479,0.562947,0.437053,0.000000,0.000000,0.711413
170.00,3.3433,3.3433,500,423635336.332431,0.630239,0.369761,0.000000,0.000000,0.758332
170.00,3.3529,3.3529,500,409486872.954456,0.749033,0.250967,0.000000,0.000000,0.863352
170.00,3.3624,3.3624,500,407206554.914790,1.000000,0.000000,0.000000,0.000000,1.105177
170.00,3.3719,3.3719,500,415871649.194393,1.000000,0.000000,0.000000,0.000000,1.099531
170.00,3.3814,3.3814,500,420332592.079119,1.000000,0.000000,0.000000,0.000000,1.096754
170.00,3.3909,3.3909,500,420640883.244447,1.000000,0.000000,0.000000,0.000000,1.096565
170.00,3.4004,3.4004,500,416767299.857230,1.000000,0.000000,0.000000,0.000000,1.098967
170.00,3.4099,3.4099,500,408599926.189840,1.000000,0.000000,0.000000,0.000000,1.104246
170.00,3.4194,3.4194,500,408202860.050803,0.769254,0.230746,0.000000,0.000000,0.882304
170.00,3.4289,3.4289,500,422264011.838629,0.638387,0.361613,0.000000,0.000000,0.764952
170.00,3.4384,3.4384,500,435562053.828944,0.566534,0.433466,0.000000,0.000000,0.713414
170.00,3.4479,3.4479,500,442507623.863224,0.516258,0.483742,0.000000,0.000000,0.694034
170.00,3.4575,3.4575,500,441332040.905839,0.529432,0.470568,0.000000,0.000000,0.697067
170.00,3.4670,3.4670,500,432224198.667424,0.584063,0.415937,0.000000,0.000000,0.724192
170.00,3.4765,3.4765,500,417680255.236210,0.668739,0.331261,0.000000,0.000000,0.790638
170.00,3.4860,3.4860,500,405624404.734737,0.837801,0.162199,0.000000,0.000000,0.947605
170.00,3.4955,3.4955,500,411885526.339571,1.000000,0.000000,0.000000,0.000000,1.102086
170.00,3.5050,3.5050,500,418696559.415631,1.000000,0.000000,0.000000,0.000000,1.097763
170.00,3.5145,3.5145,500,421016190.552282,1.000000,0.000000,0.000000,0.000000,1.096336
170.00,3.5240,3.5240,500,418856439.696321,1.000000,0.000000,0.000000,0.000000,1.097664
170.00,3.5335,3.5335,500,412135045.033811,1.000000,0.000000,0.000000,0.000000,1.101924
170.00,3.5430,3.5430,500,405553226.631996,0.841392,0.158608,0.000000,0.000000,0.951060
